Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.407411,1.411369,1.414664,1.417254,1.418991,1.41955,1.418439,1.415137,1.409313,1.401005,1.390683,1.379139,1.367203,1.355418,1.343915,1.332497,1.320791,1.308347,1.294707,1.279505,1.262591,1.244074,1.224265,1.203544,1.182243,1.160597,1.138754,1.116797,1.094775,1.072718,1.050637,1.028544,1.006442,0.984334,0.962225,0.940119,0.918017,0.895918,0.87382,0.851722,0.829623,0.807524,0.785424,0.763324,0.741223,0.719122,0.697021,0.67492,0.65282,0.630724
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.390683,1.379139,1.367203,1.355418,1.343915,1.332497,1.320791,1.308347,1.294707,1.279505,1.262591,1.244074,1.224265,1.203544,1.182243,1.160597,1.138754,1.116797,1.094775,1.072718,1.050637,1.028544,1.006442,0.984334,0.962225,0.940119,0.918017,0.895918,0.87382,0.851722,0.829623,0.807524,0.785424,0.763324,0.741223,0.719122,0.697021,0.67492,0.65282,0.630724,0.608636,0.586559,0.564502,0.542481,0.520515,1.897145,1.866069,1.834906,1.803693,1.772449
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.262591,1.244074,1.224265,1.203544,1.182243,1.160597,1.138754,1.116797,1.094775,1.072718,1.050637,1.028544,1.006442,0.984334,0.962225,0.940119,0.918017,0.895918,0.87382,0.851722,0.829623,0.807524,0.785424,0.763324,0.741223,0.719122,0.697021,0.67492,0.65282,0.630724,0.608636,0.586559,0.564502,0.542481,0.520515,1.897145,1.866069,1.834906,1.803693,1.772449,1.741183,1.7099,1.678595,1.647266,1.615899,1.584485,1.553025,1.521563,1.490196,1.459063
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.050637,1.028544,1.006442,0.984334,0.962225,0.940119,0.918017,0.895918,0.87382,0.851722,0.829623,0.807524,0.785424,0.763324,0.741223,0.719122,0.697021,0.67492,0.65282,0.630724,0.608636,0.586559,0.564502,0.542481,0.520515,1.897145,1.866069,1.834906,1.803693,1.772449,1.741183,1.7099,1.678595,1.647266,1.615899,1.584485,1.553025,1.521563,1.490196,1.459063,1.42829,1.397957,1.368092,1.338689,1.309695,1.280999,1.252417,1.223763,1.194933,1.165996
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.829623,0.807524,0.785424,0.763324,0.741223,0.719122,0.697021,0.67492,0.65282,0.630724,0.608636,0.586559,0.564502,0.542481,0.520515,1.897145,1.866069,1.834906,1.803693,1.772449,1.741183,1.7099,1.678595,1.647266,1.615899,1.584485,1.553025,1.521563,1.490196,1.459063,1.42829,1.397957,1.368092,1.338689,1.309695,1.280999,1.252417,1.223763,1.194933,1.165996,1.137189,1.108818,1.081101,1.054107,1.027798,1.002145,0.97723,0.953256,0.930471,0.909022
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.608636,0.586559,0.564502,0.542481,0.520515,1.897145,1.866069,1.834906,1.803693,1.772449,1.741183,1.7099,1.678595,1.647266,1.615899,1.584485,1.553025,1.521563,1.490196,1.459063,1.42829,1.397957,1.368092,1.338689,1.309695,1.280999,1.252417,1.223763,1.194933,1.165996,1.137189,1.108818,1.081101,1.054107,1.027798,1.002145,0.97723,0.953256,0.930471,0.909022,0.888844,0.869645,0.851028,0.832644,0.814284,0.795877,0.777422,0.758935,0.740433,0.721929
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.741183,1.7099,1.678595,1.647266,1.615899,1.584485,1.553025,1.521563,1.490196,1.459063,1.42829,1.397957,1.368092,1.338689,1.309695,1.280999,1.252417,1.223763,1.194933,1.165996,1.137189,1.108818,1.081101,1.054107,1.027798,1.002145,0.97723,0.953256,0.930471,0.909022,0.888844,0.869645,0.851028,0.832644,0.814284,0.795877,0.777422,0.758935,0.740433,0.721929,0.703435,0.684972,0.666567,0.648264,0.630144,0.612341,0.595073,0.578653,0.563449,0.54976
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.42829,1.397957,1.368092,1.338689,1.309695,1.280999,1.252417,1.223763,1.194933,1.165996,1.137189,1.108818,1.081101,1.054107,1.027798,1.002145,0.97723,0.953256,0.930471,0.909022,0.888844,0.869645,0.851028,0.832644,0.814284,0.795877,0.777422,0.758935,0.740433,0.721929,0.703435,0.684972,0.666567,0.648264,0.630144,0.612341,0.595073,0.578653,0.563449,0.54976,0.537688,0.527071,0.517558,0.508754,0.500349,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.137189,1.108818,1.081101,1.054107,1.027798,1.002145,0.97723,0.953256,0.930471,0.909022,0.888844,0.869645,0.851028,0.832644,0.814284,0.795877,0.777422,0.758935,0.740433,0.721929,0.703435,0.684972,0.666567,0.648264,0.630144,0.612341,0.595073,0.578653,0.563449,0.54976,0.537688,0.527071,0.517558,0.508754,0.500349,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.888844,0.869645,0.851028,0.832644,0.814284,0.795877,0.777422,0.758935,0.740433,0.721929,0.703435,0.684972,0.666567,0.648264,0.630144,0.612341,0.595073,0.578653,0.563449,0.54976,0.537688,0.527071,0.517558,0.508754,0.500349,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
